epoch,learning_rate,train_loss,train_dice,train_iou,train_precision,train_recall,train_accuracy,val_loss,val_dice,val_iou,val_precision,val_recall,val_accuracy,epoch_seconds
1,0.0009890738003669028,0.6530444720284693,0.6023824393132637,0.43814225926995276,0.5801932429085518,0.6348659108013942,0.9548053188981681,0.4752449340872712,0.6680652790672177,0.5034594751976349,0.6412783252013908,0.7003535664343572,0.9643418939559014,549.0459667920001
2,0.0009567727288213003,0.4207560225601854,0.7035211551600489,0.5442625296938008,0.6913199084380577,0.7182091637315421,0.9686691941886113,0.41842423395796136,0.7040459055166978,0.5451228821670616,0.6701676373953348,0.743285236122844,0.9678604629013564,616.7349444170001
3,0.0009045084971874737,0.3861018609178477,0.7269147582711845,0.5724373494345566,0.7134194661831034,0.7427567846199562,0.9710587652798357,0.37375554540655115,0.7357864275083437,0.5837622894035591,0.7066192600753282,0.7692778942349193,0.9715872616558284,638.5970068749998
4,0.0008345653031794292,0.3664582011617463,0.7403319002019948,0.5890228616780249,0.7255392670631409,0.7573153688167703,0.9724549681564857,0.3544872989366343,0.7476753572841267,0.5986579090029329,0.7375151161309127,0.7599033441517379,0.973627412057185,645.9981075839999
5,0.00075,0.35497873154179804,0.748335504696287,0.5992323671538254,0.7336421163328762,0.7651095887710309,0.9733046959186422,0.344483114533372,0.7550778402076973,0.60795747087552,0.7356260399242024,0.7766580634064727,0.974050529055543,613.689052917
6,0.0006545084971874737,0.3443143632083104,0.7557292963718546,0.6086332909814243,0.7412061549877298,0.7719544912206715,0.9741020202636719,0.34582396948730554,0.7549882138168419,0.607784166440859,0.7304015952152211,0.7823695481478513,0.9738567615603353,631.6439247080002
7,0.0005522642316338268,0.33756452122638964,0.7603225869145886,0.6144593129486873,0.7450481644170037,0.7774320585974331,0.9745561007795662,0.34780447496162664,0.751883810038095,0.6040828837143196,0.7449956857241117,0.760454441164876,0.974181402515579,631.9763171250002
8,0.0004477357683661734,0.3289043451999796,0.766395435086612,0.6222974503040314,0.7521182047909704,0.7823132135128152,0.975235911402209,0.33706500978915244,0.7597347340741001,0.614114339862551,0.7367015710243812,0.7851183106611063,0.9744148326444102,553.5901414580003
9,0.0003454915028125264,0.32340915585386343,0.7699905388108615,0.6270733329756507,0.7540944757954827,0.7875889036573213,0.9755748880320582,0.3288634697814564,0.7649894795574985,0.6208309816135155,0.7464647882587307,0.7854507683397649,0.9751330646839771,547.7673285410001
10,0.0002500000000000001,0.3165814983639224,0.7746364364130743,0.6331427207075316,0.7601398890593957,0.7906156264502426,0.9761153438173491,0.32442515859237087,0.7684785271738912,0.6253612653894739,0.7440822982526087,0.7954284050962427,0.9752927717271742,550.7608612080003
11,0.00016543469682057103,0.3089550092713586,0.7798882396467801,0.6402172663705102,0.7653810521651958,0.7958328548793135,0.9766642208757071,0.3265557316960869,0.766181189935286,0.6226110622123048,0.7568367758950034,0.7766722650318355,0.9755684360043033,591.9953237909995
12,9.549150281252631e-05,0.30490152106202884,0.782619067224963,0.6438028795143653,0.7689305969764446,0.7975894182303856,0.9769878387451172,0.31947712239983317,0.7703809161762615,0.6279817207173987,0.7601246794501504,0.7817074250388931,0.975971431522579,633.3614015000003
13,4.322727117869951e-05,0.29879913728812646,0.7868434014813653,0.6495457737199192,0.7739205098974293,0.8010033026234857,0.9774434372474408,0.31812115537596275,0.7713307607304919,0.6292242587922694,0.7634711619261857,0.7802474688697647,0.9761489407046811,627.0482416249997
14,1.0926199633097156e-05,0.2966624453561059,0.7880926088629098,0.6512125570609651,0.775257506781611,0.8021336061379005,0.977604541120858,0.3179352404652061,0.7716041574111352,0.6295934198321876,0.759769571351481,0.7846254097236381,0.9760464469155112,601.2948395419999
15,0.0,0.29429413008278815,0.7897471095775735,0.653438871359003,0.7773443276306679,0.8033156115433265,0.9777909640608162,0.31714094225521927,0.7720193672966171,0.6301811769768432,0.7601730548418485,0.7850061465095688,0.9760888415378529,601.0298495420011
