epoch,learning_rate,train_loss,train_dice,train_iou,train_precision,train_recall,train_accuracy,val_loss,val_dice,val_iou,val_precision,val_recall,val_accuracy,epoch_seconds
1,0.0009890738003669028,1.1440162908275593,0.0,0.0,0.0,0.0,0.948005400413324,1.0634578673735908,0.0,0.0,0.0,0.0,0.9484029166076494,56.015946917
2,0.0009567727288213003,1.0122022891504376,0.16795626188467302,0.09601674585976756,0.22229178202628433,0.15754646186300703,0.9335716000601608,0.9243414920309315,0.3467503740735676,0.2100957985157552,0.33453591232714447,0.36607225692790485,0.929109794938046,54.972702166
3,0.0009045084971874737,0.8994427410367435,0.33701660186462823,0.20407426336744272,0.40426579770470455,0.3087043291773678,0.938094948277329,0.8146788892538651,0.4209608474503393,0.2670377130093782,0.4416751084120377,0.4064448151899421,0.942561246778654,55.83156616699999
4,0.0008345653031794292,0.8331215263398226,0.3952566155799493,0.2475050759627471,0.47556349167153855,0.3513270685495424,0.9449294119170217,0.7631824262764143,0.4582522751196571,0.29776773763739545,0.5073051899671555,0.420413455237513,0.9489376648612644,55.917896708
5,0.00075,0.8026639654945079,0.42150187812560846,0.26820941002572535,0.49497864692992743,0.3806742411671263,0.9465117362576739,0.736056554576625,0.47678817549477454,0.31357645502556925,0.5229893832103066,0.44037421760351764,0.9503364770308785,55.86220212499998
6,0.0006545084971874737,0.7732904031256999,0.44672413954393264,0.28856151142560416,0.5092443319720014,0.4072500742746122,0.9480947541796472,0.764702927807103,0.47940000438171887,0.31577416541783704,0.4201280746770942,0.560742138520531,0.9373693323653677,55.804011
7,0.0005522642316338268,0.7628092061389576,0.4558892594881294,0.29637131620372953,0.5148649910264764,0.4214396617136711,0.9483317724600968,0.717774976854739,0.4991557151079178,0.3331465189871581,0.4773150669491809,0.525458411678024,0.9457774227080138,55.39541933300001
8,0.0004477357683661734,0.743977134713785,0.47045122082896795,0.3086042827811123,0.5255591838156225,0.4343784483503704,0.9496682327312543,0.7158701160679692,0.505139004925023,0.3385071132494056,0.4683185278073601,0.5507398403209188,0.9444919189681178,55.94394295799998
9,0.0003454915028125264,0.737892285030407,0.4753333323586414,0.31290702439700935,0.5306515059031074,0.4401796420333142,0.9500580937409204,0.7023187124210856,0.5148031517215397,0.3472568217826926,0.48781636098156805,0.5476426067559615,0.9469004156796829,55.291635791999965
10,0.0002500000000000001,0.7285491569639895,0.4822937324027385,0.31877992809147215,0.5310123243443565,0.44837124214684665,0.9503270220165411,0.6854755243529445,0.5214635192052178,0.3533469652352126,0.5148556238931158,0.5307343511477761,0.9499069089474885,55.71644870900002
11,0.00016543469682057103,0.7247761878757109,0.4850977052506008,0.3212831481347071,0.5329198000680645,0.4526251608264676,0.9505076237618102,0.677113748115042,0.5233336013296376,0.3550882494967917,0.5402207497669302,0.5098858132310535,0.9522331214469412,55.872724833999996
12,9.549150281252631e-05,0.7187822876554547,0.4896039627800303,0.325198745637229,0.5363934425118869,0.4569013225473977,0.9509055923167667,0.6764762168345244,0.51941918614118,0.351534700911978,0.5640625791705173,0.4834996079621108,0.9540078601111537,55.45926850000001
13,4.322727117869951e-05,0.7162955060149684,0.49119632442792255,0.326507582973186,0.5378020981290781,0.4583543233635012,0.9510709484089833,0.6759353137534597,0.5252979527349058,0.35689784845580225,0.5290337826894678,0.5240347016116848,0.951291077810785,55.70702337499995
14,1.0926199633097156e-05,0.7115725493956532,0.4948849181334178,0.3298781941498607,0.5398702456438838,0.46206920025434045,0.9513592759439767,0.677126918150031,0.5255145100147828,0.35711242452911707,0.5250971109970756,0.5283777733211932,0.9509330275266067,55.895699000000036
15,0.0,0.7148603058058368,0.49203985929489136,0.3274239789355885,0.5375649274709139,0.45851519909115207,0.9511967598570936,0.6749709507693415,0.5258188014445098,0.3573864063490992,0.531052189676658,0.5230859278336816,0.9514818670956985,55.71996324999998
